,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,active,329.5280000000001,4.288200000000003,2.0,2.0,5.148735534500312
1,CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,inactive,315.50100000000003,3.898100000000002,2.0,2.0,4.301029127075886
5,CHEMBL324070,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,active,427.5290000000001,5.020920000000004,0.0,5.0,5.267598197761092
11,CHEMBL37321,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,302.418,3.458700000000002,0.0,3.0,5.180449484288558
12,CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,inactive,210.28000000000003,2.8531000000000004,1.0,1.0,4.292428972345091
13,CHEMBL41066,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,288.391,3.1165000000000003,1.0,3.0,5.494836450189588
14,CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,inactive,236.27399999999997,2.6891000000000007,0.0,3.0,3.6020598176102046
15,CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,inactive,236.274,2.6891000000000016,0.0,3.0,3.9871623536499046
16,CHEMBL1630273,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.8516000000000012,2.0,3.0,5.167484700657167
19,CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21,active,235.28599999999997,3.294100000000002,0.0,2.0,5.036207452087905
20,CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,active,235.28599999999997,3.294100000000002,0.0,2.0,5.337232727236657
22,CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,226.34400000000002,4.191500000000003,0.0,1.0,3.6020598176102046
23,CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,260.337,2.2884,0.0,3.0,4.5086369052180455
24,CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,3.6020598176102046
25,CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,274.36400000000003,2.6785000000000014,0.0,3.0,4.39793892293719
26,CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,288.391,3.0686000000000018,0.0,3.0,4.677778637202043
27,CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,inactive,346.46700000000016,3.4224000000000023,1.0,4.0,4.958603366728068
28,CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,218.25599999999994,1.166,1.0,3.0,4.999995657076895
29,CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,218.25599999999994,1.166,1.0,3.0,4.34678652112688
30,CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,inactive,232.28299999999993,1.5082,0.0,3.0,4.522877297634477
32,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,232.28299999999996,1.3532,2.0,3.0,5.096904584360962
33,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.853868862229398
36,CHEMBL2112739,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,330.46800000000013,4.450000000000005,0.0,3.0,5.999956572723137
37,CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.886053306979228
41,CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,330.47200000000004,4.238900000000004,0.0,3.0,5.301021309861201
42,CHEMBL38550,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,344.499,4.629000000000005,0.0,3.0,5.522864269038877
43,CHEMBL39152,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,274.36400000000003,2.7264,1.0,3.0,5.443685435664653
44,CHEMBL166789,c1ccc(C2C3CCc4ccccc4C32)nc1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,3.6020598176102046
46,CHEMBL1630275,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,inactive,318.4570000000001,3.5057000000000027,1.0,3.0,3.8239084514147605
48,CHEMBL38439,CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,316.445,3.8488000000000033,0.0,3.0,5.8238797889439144
49,CHEMBL38510,CC1(c2ccncc2)CCC(=O)NC1=O,inactive,204.22899999999998,0.7758999999999998,1.0,3.0,3.61083373837245
50,CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,4.7447250821562745
53,CHEMBL169664,O=C1c2ccccc2CCC1C(O)c1cccnn1,inactive,254.28900000000002,1.9552999999999996,1.0,4.0,3.6020598176102046
54,CHEMBL168762,O=C1c2ccccc2CCC1C(O)c1ccnnc1,inactive,254.28900000000002,1.9552999999999996,1.0,4.0,3.6020598176102046
55,CHEMBL275594,CCCC1(c2ccncc2)CCC(=O)NC1=O,active,232.28299999999996,1.5560999999999998,1.0,3.0,5.22184151143531
56,CHEMBL39781,CCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,246.31,1.8983,0.0,3.0,3.4145391576877526
57,CHEMBL413344,O=C1/C(=C/c2cnccn2)CCc2ccccc21,inactive,236.27399999999997,2.6891000000000007,0.0,3.0,4.420215260504478
58,CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,4.568634627345911
59,CHEMBL288712,CCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,260.337,2.3362999999999996,1.0,3.0,5.602042619896112
60,CHEMBL169086,O=C1/C(=C/c2cncs2)CCc2ccccc21,active,241.31499999999997,3.3556000000000017,0.0,3.0,5.958567835319735
61,CHEMBL168700,c1ccc(C2C3CCc4ccccc4C32)cc1,inactive,220.31500000000003,4.1300000000000034,0.0,0.0,3.6020598176102046
62,CHEMBL355681,Nc1ncc(/C=C2\CCc3ccccc3C2=O)s1,inactive,256.33,2.937800000000001,1.0,4.0,3.6020598176102046
63,CHEMBL289766,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,316.44500000000005,3.896700000000002,1.0,3.0,5.619770663061963
64,CHEMBL1630266,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.8516000000000012,2.0,3.0,5.8538409443951815
66,CHEMBL39840,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,358.526,5.019100000000004,0.0,3.0,4.999995657076895
67,CHEMBL424203,O=C1/C(=C/c2ccccn2)CCc2ccccc21,inactive,235.28599999999994,3.294100000000002,0.0,2.0,3.6020598176102046
68,CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.431,3.8808000000000025,1.0,2.0,5.161144615185427
69,CHEMBL40125,CCCCC1(c2ccncc2)CCC(=O)NC1=O,active,246.30999999999997,1.9462,1.0,3.0,5.397929151445704
70,CHEMBL28689,O=C1/C(=C/c2ccccc2)CCc2ccccc21,inactive,234.29799999999997,3.8991000000000025,0.0,1.0,3.6020598176102046
71,CHEMBL166974,O=C1/C(=C/c2ccsc2)CCc2ccccc21,inactive,240.32699999999997,3.960600000000003,0.0,2.0,3.6020598176102046
75,CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,inactive,353.3690000000001,4.416900000000003,1.0,3.0,3.9999995657057354
76,CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,inactive,292.342,3.1679000000000004,1.0,3.0,3.9999995657057354
77,CHEMBL14563,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,inactive,394.8620000000002,5.133740000000003,1.0,4.0,3.9999995657057354
78,CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,inactive,224.259,3.3931000000000022,0.0,2.0,4.5451536161538755
82,CHEMBL10072,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21,active,313.35600000000005,4.481600000000003,0.0,3.0,5.481472899882664
84,CHEMBL9687,COc1ccc2c(c1)OC(c1ccccc1)CC2=O,active,254.285,3.4017000000000017,0.0,3.0,5.096904584360962
87,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,232.28299999999996,1.3532,2.0,3.0,5.283988304628546
89,CHEMBL267508,COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O,active,343.38200000000006,4.490200000000003,0.0,4.0,5.795852874787152
91,CHEMBL27386,Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1,active,202.21300000000002,0.18289999999999967,2.0,3.0,5.999956572723137
92,CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1,active,202.21300000000002,0.18289999999999967,2.0,3.0,5.74470336809566
93,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,232.28299999999996,1.3532,2.0,3.0,5.721223542044355
94,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.886053306979228
97,CHEMBL26543,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1,active,216.24,0.5729999999999997,2.0,3.0,5.698948290154774
110,CHEMBL27767,Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1,inactive,202.21300000000002,0.18289999999999967,2.0,3.0,3.1095789253053336
112,CHEMBL311077,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,inactive,374.5210000000002,4.814200000000005,0.0,4.0,4.420215260504478
113,CHEMBL424162,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,368.5420000000002,4.744100000000005,0.0,3.0,5.999956572723137
114,CHEMBL349514,CCSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SCC,active,418.66800000000023,6.210000000000007,0.0,4.0,5.999956572723137
115,CHEMBL2112309,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O,inactive,310.42800000000005,4.945400000000006,1.0,1.0,4.585024981669002
117,CHEMBL165279,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCS)C1CCC2=O,active,390.61400000000015,5.0407000000000055,1.0,4.0,5.999956572723137
118,CHEMBL443530,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,inactive,332.4840000000001,4.243400000000004,1.0,3.0,4.356546336482021
119,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,232.28299999999996,1.3532,2.0,3.0,5.721223542044355
